country,category,n_records,mean_z_price,anomaly_rate,total_value_gbp,log_n_records,cluster
China,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",44,0.3799530720370562,0.045454545454545456,1018198.0,3.784189633918261,0
China,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medical plants; straw and fodder",5,0.8695569813091943,0.2,699470.0,1.6094379124341003,1
China,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",35,-1.0306257816694628,0.05714285714285714,3754301.0,3.5553480614894135,0
China,Organic chemicals,23,0.42491651756922133,0.043478260869565216,25127231.0,3.1354942159291497,0
China,Plastics and plastic products,30,-0.2463172570177087,0.0,3484333.0,3.4011973816621555,0
China,Products of animal origin not elsewhere specified or included,73,-0.16688305676919807,0.0,9004697.0,4.290459441148391,0
China,"Salt; sulphur; earths and stone; plastering material, lime and cement",9,1.0779346141953028,0.1111111111111111,321421.0,2.1972245773362196,1
China,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",6,-0.6246695837382482,0.0,498971.0,1.791759469228055,0
Colombia,Edible fruit and nuts; peel of citrus fruits or melons,70,-0.4289064407064182,0.04285714285714286,57950139.0,4.248495242049359,0
Colombia,Edible vegetables and certain roots and tubers,9,0.06435690308494686,0.0,41483.0,2.1972245773362196,0
Colombia,"Fish and crustaceans, molluscs and other aquatic invertebrates",15,0.40096390895896333,0.0,574750.0,2.70805020110221,0
Colombia,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",96,-0.1645990631385557,0.0,20462092.0,4.564348191467836,0
Confidential Country,Products of animal origin not elsewhere specified or included,16,-0.36751021988280697,0.0,9182373.0,2.772588722239781,0
Costa Rica,Edible fruit and nuts; peel of citrus fruits or melons,56,-1.1562726653116737,0.08928571428571429,64461258.0,4.02535169073515,0
Costa Rica,Edible vegetables and certain roots and tubers,33,-0.5690130224595453,0.0,2215356.0,3.4965075614664802,0
Costa Rica,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",15,0.05860247884058572,0.0,137193.0,2.70805020110221,0
Croatia,Edible fruit and nuts; peel of citrus fruits or melons,7,-0.5339636205178533,0.0,441811.0,1.9459101490553132,0
Croatia,Edible vegetables and certain roots and tubers,9,3.861676367720177,0.8888888888888888,223131.0,2.1972245773362196,1
Croatia,Live animals,5,-0.7965276027433371,0.0,31750.0,1.6094379124341003,0
Croatia,Meat and edible meat offal,8,1.2175452178313686,0.0,43699.0,2.0794415416798357,0
Cyprus,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",45,0.45426781820516837,0.06666666666666667,42826338.0,3.8066624897703196,0
Cyprus,Edible fruit and nuts; peel of citrus fruits or melons,13,-1.0704049867032421,0.0,1008498.0,2.5649493574615367,0
Cyprus,Edible vegetables and certain roots and tubers,41,-0.274936310773904,0.0,3789938.0,3.713572066704308,0
Czechia,"Aircraft, spacecraft, and parts thereof",15,0.059959390180436875,0.0,554583.0,2.70805020110221,0
Czechia,Arms and ammunition; parts and accessoriesthereof,8,-0.6785370154524291,0.0,1173466.0,2.0794415416798357,0
Czechia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",30,0.5446959284693602,0.0,1635235.0,3.4011973816621555,0
Czechia,Edible vegetables and certain roots and tubers,10,0.10552776207007886,0.0,199659.0,2.302585092994046,0
Czechia,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",30,0.139568191408174,0.0,629811.0,3.4011973816621555,0
Czechia,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,6,0.37612173856980485,0.0,31478.0,1.791759469228055,0
Czechia,"Fish and crustaceans, molluscs and other aquatic invertebrates",12,2.1722818344307373,0.16666666666666666,627221.0,2.4849066497880004,1
Czechia,Live animals,13,0.19449869439550657,0.0,150252.0,2.5649493574615367,0
Czechia,Plastics and plastic products,8,1.420839593545641,0.0,72155.0,2.0794415416798357,0
Czechia,Products of animal origin not elsewhere specified or included,10,0.14426365142854453,0.0,481009.0,2.302585092994046,0
Denmark,"Aircraft, spacecraft, and parts thereof",9,0.28708352512563345,0.0,806963.0,2.1972245773362196,0
Denmark,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",163,-0.11168566277491723,0.06748466257668712,77266774.0,5.093750200806762,0
Denmark,Edible fruit and nuts; peel of citrus fruits or melons,10,0.9350788460479817,0.5,90548.0,2.302585092994046,1
