month,flow_type_id,commodity_id,category,country,value_gbp,net_mass_kg
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,694437.0,8045000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,1210021.0,14448000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,53401.0,247500.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,1384173.0,16272000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,21015.0,99000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,1343477.0,14000000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,1908225.0,16500000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,957482.0,10339000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,45532.0,57280.0
202401,3,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Turkey,131320.0,667000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Poland,5993.0,11296.0
202401,3,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Bosnia & Herz.,3620.0,150.0
202401,3,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Algeria,1382146.0,14852000.0
202401,3,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Algeria,527672.0,5800000.0
202401,3,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",India,695.0,5148.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",France,66517.0,25000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",France,59134.0,24000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",France,2464.0,64.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,13514.0,1264.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,8696.0,3000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,18692.0,5400.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,301927.0,132500.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,10605.0,6000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,21062.0,10900.0
